"","SEQN","SDDSRVYR","RIDSTATR","RIDEXMON","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDAGEEX","RIDRETH1","DMQMILIT","DMDBORN2","DMDCITZN","DMDYRSUS","DMDEDUC3","DMDEDUC2","DMDSCHOL","DMDMARTL","DMDHHSIZ","DMDFMSIZ","INDHHIN2","INDFMIN2","INDFMPIR","RIDEXPRG","DMDHRGND","DMDHRAGE","DMDHRBR2","DMDHREDU","DMDHRMAR","DMDHSEDU","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANG","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA"
"2178",43652,5,2,1,2,0,9,9,2,NA,1,1,NA,NA,NA,NA,NA,4,4,7,7,1.94,NA,1,27,1,2,1,2,1,1,2,1,2,2,NA,NA,NA,NA,4275.102652,4471.165466,1,73
"2179",43653,5,2,1,1,39,472,472,3,2,1,1,NA,NA,5,NA,1,5,5,15,15,5,NA,1,39,1,5,1,5,1,2,2,1,2,2,1,2,2,1,57542.074323,60282.132,2,68
"2180",43654,5,2,2,1,36,433,433,3,2,1,1,NA,NA,3,NA,1,4,4,4,4,0.73,NA,1,36,1,3,1,4,1,2,2,1,2,2,1,2,2,1,20107.39039,21119.897392,1,67
"2181",43655,5,2,2,1,0,2,3,3,NA,1,1,NA,NA,NA,NA,NA,6,6,8,8,1.9,NA,2,29,1,3,1,5,1,1,2,1,2,2,NA,NA,NA,NA,7134.644453,7434.533892,2,63
"2182",43656,5,2,2,1,80,NA,NA,4,2,1,1,NA,NA,2,NA,1,3,3,9,9,3.49,NA,1,80,1,2,1,2,1,2,2,1,2,2,1,2,2,1,10683.390739,10865.24455,1,59
"2183",43657,5,2,1,2,0,1,1,4,NA,1,1,NA,NA,NA,NA,NA,4,4,3,3,0.68,NA,2,54,1,4,1,3,1,1,2,1,2,2,NA,NA,NA,NA,8454.82945,8666.596215,1,59
"2184",43658,5,2,2,2,10,128,130,3,NA,1,1,NA,4,NA,1,NA,5,4,2,1,0.03,NA,1,26,1,2,6,NA,1,1,2,1,2,2,1,2,2,1,25863.591803,26081.961016,2,59
"2185",43659,5,2,2,1,15,184,185,3,NA,1,1,NA,8,NA,1,NA,4,4,8,8,2.57,NA,1,48,1,2,1,4,1,1,2,1,2,2,1,2,2,1,69332.394313,70991.42377,1,61
"2186",43660,5,2,1,2,17,211,212,4,2,1,1,NA,13,NA,3,NA,3,3,6,6,1.51,NA,2,47,1,3,1,1,1,2,2,1,2,2,1,2,2,1,15977.285461,16101.140847,1,59
"2187",43661,5,2,2,2,16,196,198,4,NA,1,1,NA,66,NA,1,NA,4,4,6,6,1.45,NA,2,26,1,2,5,NA,1,2,2,1,2,2,1,2,2,1,15338.257165,15918.249068,1,64
"2188",43662,5,2,2,2,38,464,465,3,2,1,1,NA,NA,4,NA,4,3,3,3,3,0.7,2,2,38,1,4,4,NA,1,2,2,1,2,2,1,2,2,1,41782.229773,42092.248745,1,69
"2189",43663,5,2,1,1,7,84,84,1,NA,1,1,NA,1,NA,1,NA,4,4,6,6,1.22,NA,2,43,2,3,4,NA,1,1,2,1,2,2,NA,NA,NA,NA,7441.187417,7757.887682,1,70
"2190",43664,5,2,2,2,9,116,116,3,NA,1,1,NA,3,NA,1,NA,4,4,9,9,2.59,NA,1,49,1,4,1,5,1,1,2,1,2,2,1,2,2,1,56364.070983,58656.800771,2,63
"2191",43665,5,2,1,2,0,6,7,3,NA,1,1,NA,NA,NA,NA,NA,6,6,12,12,NA,NA,2,38,1,4,1,NA,1,1,2,1,2,2,NA,NA,NA,NA,7700.502046,7788.927922,2,67
"2192",43666,5,2,1,2,30,369,370,4,2,1,1,NA,NA,4,NA,5,2,2,5,5,1.71,2,2,30,1,4,5,NA,1,2,2,1,2,2,NA,NA,NA,1,31795.634855,34449.99105,2,66
"2193",43667,5,2,2,1,6,75,76,2,NA,1,1,NA,0,NA,NA,NA,4,4,8,8,2.3,NA,1,32,1,4,3,NA,1,1,2,1,1,2,NA,NA,NA,NA,8471.206671,8298.06983,1,60
"2194",43668,5,2,2,1,0,5,6,2,NA,1,1,NA,NA,NA,NA,NA,4,4,5,5,1.08,NA,2,28,1,3,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4642.475821,4691.213471,2,61
"2195",43669,5,2,1,1,11,141,142,2,NA,1,1,NA,5,NA,1,NA,4,4,6,6,1.36,NA,1,42,4,3,1,3,2,1,2,2,2,2,1,2,2,1,11363.013187,12529.539048,1,72
"2196",43670,5,2,2,1,44,532,532,1,2,2,1,7,NA,1,NA,3,1,1,3,3,1.15,NA,1,44,2,1,3,NA,1,2,2,1,2,2,1,2,2,1,18524.577521,18570.360378,2,60
"2197",43671,5,2,2,1,75,903,903,3,1,1,1,NA,NA,2,NA,1,2,2,4,4,1.21,NA,2,73,1,2,1,2,1,2,2,1,2,2,1,2,2,1,8716.687652,8946.892551,2,62
"2198",43672,5,2,2,2,63,765,766,3,2,1,1,NA,NA,5,NA,1,2,2,12,12,NA,NA,1,65,1,3,1,5,1,2,2,1,2,2,1,2,2,1,59522.803907,63233.684256,2,63
"2199",43673,5,2,2,2,7,84,85,4,NA,1,1,NA,0,NA,NA,NA,7,7,3,3,0.32,NA,2,28,1,2,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9802.245771,9870.043038,1,64
"2200",43674,5,2,1,2,57,690,691,4,2,1,1,NA,NA,2,NA,5,2,2,9,9,4.02,NA,2,57,1,2,5,NA,1,2,2,1,2,2,1,2,2,1,22428.724303,22837.22915,1,59
"2201",43675,5,2,2,1,8,107,107,3,NA,1,1,NA,2,NA,1,NA,4,4,8,8,2.12,NA,2,33,1,5,1,5,1,1,2,1,2,2,1,2,2,1,43135.774398,49100.831936,2,61
"2202",43676,5,2,2,2,0,7,7,3,NA,1,1,NA,NA,NA,NA,NA,5,5,5,5,0.83,NA,1,35,1,4,1,3,1,1,2,1,2,2,NA,NA,NA,NA,8342.94657,8255.418016,2,69
"2203",43677,5,2,2,1,11,136,136,2,NA,1,1,NA,5,NA,1,NA,5,5,7,7,1.66,NA,1,74,1,1,1,1,1,1,2,1,2,2,1,2,2,1,8471.206671,8298.06983,1,60
"2204",43678,5,2,2,1,43,527,528,3,2,1,1,NA,NA,4,NA,1,3,3,5,5,1.4,NA,2,45,1,2,1,4,1,2,2,1,2,2,1,2,2,1,22505.36051,22501.080152,1,60
"2205",43679,5,2,2,1,56,675,677,3,2,1,1,NA,NA,5,NA,1,2,2,9,9,4.38,NA,2,56,1,3,1,5,1,2,2,1,2,2,1,2,2,1,82326.837852,82477.366737,1,60
"2206",43680,5,2,2,2,57,691,692,2,2,4,1,7,NA,5,NA,1,3,3,15,15,5,NA,1,56,1,5,1,5,1,2,2,1,2,2,1,2,2,1,11859.84338,12033.529679,1,63
"2207",43681,5,2,2,2,2,24,25,1,NA,1,1,NA,NA,NA,NA,NA,5,5,4,4,0.62,NA,1,38,2,9,1,1,2,1,2,2,2,2,NA,NA,NA,NA,8078.546403,8544.937119,1,69
"2208",43682,5,2,2,2,80,NA,NA,3,2,1,1,NA,NA,3,NA,2,1,1,5,5,2.02,NA,2,80,1,3,2,NA,1,2,2,1,2,2,1,2,2,1,24668.876466,29668.50185,2,63
"2209",43683,5,2,2,1,54,656,656,3,2,1,1,NA,NA,4,NA,1,2,2,14,14,5,NA,2,51,1,3,1,4,1,2,2,1,2,2,1,2,2,1,82326.837852,82477.366737,1,60
"2210",43684,5,2,2,1,67,815,815,1,2,2,1,8,NA,1,NA,2,2,2,5,5,1.71,NA,1,67,2,1,2,NA,1,2,2,1,2,2,2,2,2,2,9618.801295,10649.660368,2,65
"2211",43685,5,2,2,2,8,96,97,2,NA,1,1,NA,2,NA,1,NA,4,4,8,8,2.3,NA,1,32,1,4,3,NA,1,1,2,1,1,2,1,2,2,1,7777.946648,7621.79471,1,60
"2212",43686,5,2,1,2,0,9,9,5,NA,1,1,NA,NA,NA,NA,NA,5,5,10,10,2.9,NA,1,39,4,5,1,5,1,1,1,1,2,1,NA,NA,NA,NA,17307.551732,17861.654284,1,70
"2213",43687,5,2,1,2,1,20,20,1,NA,1,1,NA,NA,NA,NA,NA,4,4,15,15,4.94,NA,2,44,1,3,3,NA,1,1,2,1,2,2,NA,NA,NA,NA,10437.494975,11926.824564,1,66
"2214",43688,5,2,1,2,47,572,573,1,2,1,1,NA,NA,5,NA,1,4,4,15,15,5,NA,1,53,1,5,1,5,1,2,2,1,2,2,1,2,2,1,25274.173117,25651.32401,1,66
"2215",43689,5,2,2,1,37,444,445,5,2,5,2,4,NA,5,NA,1,3,3,15,15,5,NA,2,36,5,5,1,5,1,2,2,1,2,2,1,2,2,1,66713.171099,73477.98632,1,63
"2216",43690,5,2,1,1,77,935,936,4,2,1,1,NA,NA,1,NA,1,2,2,6,6,1.91,NA,1,77,1,1,1,3,1,2,2,1,2,2,1,2,2,1,12084.866416,13219.114626,2,67
"2217",43691,5,2,2,2,44,539,540,3,2,1,1,NA,NA,2,NA,3,1,1,2,2,0.59,2,2,44,1,2,3,NA,1,2,2,1,2,2,1,2,2,1,23547.187937,23378.790933,1,62
"2218",43692,5,2,1,2,47,569,570,4,2,1,1,NA,NA,2,NA,1,4,4,6,6,1.3,NA,1,51,1,2,1,2,1,2,2,1,2,2,1,2,2,1,33193.73271,33055.074653,2,66
"2219",43693,5,2,1,2,5,64,64,1,NA,1,1,NA,NA,NA,NA,NA,7,7,12,12,NA,NA,1,32,2,4,1,4,2,1,2,2,2,2,NA,NA,NA,NA,8288.694452,8920.649165,1,70
"2220",43694,5,2,2,1,1,14,14,2,NA,1,1,NA,NA,NA,NA,NA,4,4,5,5,1.07,NA,1,31,4,4,1,2,2,1,2,1,2,2,NA,NA,NA,NA,6161.987337,6377.745658,1,62
"2221",43695,5,2,1,2,33,401,401,3,2,1,1,NA,NA,5,NA,1,2,2,15,15,5,2,2,33,1,5,1,5,1,2,2,1,2,2,1,2,2,1,84779.405292,88489.92864,2,72
"2222",43696,5,2,1,1,28,343,343,4,2,1,1,NA,NA,2,NA,5,6,6,99,99,NA,NA,1,29,1,4,1,NA,1,2,2,1,2,2,1,2,2,1,23161.640181,23234.99589,1,68
"2223",43697,5,2,2,1,79,953,954,3,1,1,1,NA,NA,5,NA,1,2,2,6,6,1.97,NA,1,79,1,5,1,5,1,2,2,1,2,2,1,2,2,1,30052.773793,29506.019829,1,60
"2224",43698,5,2,1,2,2,26,27,4,NA,1,1,NA,NA,NA,NA,NA,4,4,2,2,0.34,NA,2,49,1,1,2,NA,1,1,2,1,2,2,NA,NA,NA,NA,11450.344613,11477.011394,2,71
"2225",43699,5,2,2,1,61,733,734,4,1,1,1,NA,NA,3,NA,5,1,1,7,7,3.37,NA,1,61,1,3,5,NA,1,2,2,1,2,2,1,2,2,1,6451.240943,6409.686933,2,62
"2226",43700,5,2,2,1,36,439,439,3,2,1,1,NA,NA,4,NA,3,2,2,8,8,3.57,NA,1,36,1,4,3,NA,1,2,2,1,2,2,1,2,2,1,20542.04562,20705.191276,2,60
"2227",43701,5,2,1,1,17,214,215,4,2,1,1,NA,11,NA,1,NA,4,4,14,14,4.62,NA,1,45,1,3,1,5,1,2,2,1,2,2,1,2,2,1,17563.953417,17796.764208,2,67
"2228",43702,5,2,2,2,80,NA,NA,4,2,1,1,NA,NA,1,NA,3,1,1,99,99,NA,NA,2,80,1,1,3,NA,1,2,2,1,2,2,1,2,2,1,14035.487374,15742.089432,2,67
"2229",43703,5,2,2,1,1,23,23,3,NA,1,1,NA,NA,NA,NA,NA,4,4,6,6,1.21,NA,1,31,1,3,1,3,1,1,2,1,2,2,NA,NA,NA,NA,10666.184231,10736.65229,2,59
"2230",43704,5,2,1,1,18,224,225,2,2,1,1,NA,15,NA,1,NA,5,5,15,15,5,NA,1,55,1,5,1,4,1,2,2,1,2,2,1,2,2,1,9828.117289,9926.236615,1,70
"2231",43705,5,2,1,1,80,NA,NA,4,1,1,1,NA,NA,2,NA,2,1,1,12,12,NA,NA,1,80,1,2,2,NA,1,2,2,1,2,2,1,2,2,1,10178.007014,11133.283294,2,68
"2232",43706,5,2,2,2,17,207,208,3,2,1,1,NA,11,NA,3,NA,3,3,5,5,1.25,NA,2,34,1,2,3,NA,1,2,2,1,2,2,1,2,2,1,32338.630114,32512.507115,2,60
"2233",43707,5,2,1,1,12,155,155,1,NA,1,1,NA,6,NA,1,NA,4,4,6,6,1.22,NA,2,43,2,3,4,NA,1,1,2,1,2,2,1,2,2,1,9472.451946,9678.612674,1,70
